brand_id,brand_name
6342,19-69
6471,54 Thrones
6485,ABBOTT
5847,Acqua di Parma
6321,adwoa beauty
7054,AERIN
6018,Algenist
6283,Alpha-H
6312,alpyn beauty
5998,ALTERNA Haircare
7103,Ami Colé
6004,amika
5746,Anastasia Beverly Hills
1517,Armani Beauty
6242,Artist Couture
6356,Augustinus Bader
2041,Azzaro
5737,bareMinerals
6272,BeautyBio
5938,beautyblender
7075,belif
5333,Benefit Cosmetics
6195,Biossance
5687,Blinc
5644,Bobbi Brown
6487,Bon Parfumeur
6372,BondiBoost
7101,Boy Smells
6327,BREAD BEAUTY SUPPLY
7057,Briogeo
5995,Bumble and bumble
1179,BURBERRY
5984,Buxom
8007,By Rosie Jane
6474,caliray
1138,Calvin Klein
6253,Capri Blue
3155,Carolina Herrera
4171,Caudalie
6742,CAY SKIN
6502,Ceremonia
1065,CHANEL
6236,Charlotte Tilbury
5980,Chloé
7062,Christian Louboutin
6121,Christophe Robin
7065,Cinema Secrets
2082,Clarins
5673,CLEAN RESERVE
1254,CLINIQUE
6351,COLOR WOW
7095,Commodity
6743,Community Sixty-Six
7091,COOLA
6473,Crown Affair
6503,Curlsmith
6322,dae
6349,DAMDAM
6484,Dame
6353,Danessa Myricks Beauty
7006,Deborah Lippmann
6486,DedCool
6136,DERMAFLASH
6219,Dermalogica
1073,Dior
3673,Dolce&Gabbana
6260,DOMINIQUE COSMETICS
3491,Donna Karan
6302,Dr. Barbara Sturm
4372,Dr. Brandt Skincare
5668,Dr. Dennis Gross Skincare
6014,Dr. Jart+
6318,Dr. Lara Devgan Scientific Beauty
6334,Dr. Zenovia Skincare
7083,Drunk Elephant
7004,Drybar
6377,EADEM
6183,Ellis Brooklyn
7081,Erno Laszlo
6089,Estée Lauder
6320,Fable & Mane
6329,FaceGym
8001,Farmacy
6362,Fashion Fair
6200,Fenty Beauty by Rihanna
6352,Fenty Skin
5972,First Aid Beauty
6274,Flora + Bast
6300,Floral Street
7037,FOREO
6468,FORVR Mood
6347,Freck Beauty
4348,fresh
5864,ghd
6328,Gisou
1133,Givenchy
6369,Glamnetic
5996,GLO Science
6751,Glossier
6189,Glow Recipe
6264,Good Dye Young
6309,goop
6151,Grande Cosmetics
1063,Gucci
1132,GUERLAIN
6491,GXVE BY GWEN STEFANI
6500,HABIT
6476,Hanni
6490,HAUS LABS BY LADY GAGA
6117,Herbivore
6325,HERETIC
1180,HERMÈS
5879,Hourglass
6746,House of Lashes
6106,HUDA BEAUTY
7050,HUM Nutrition
6368,Hyper Skin
6331,Iconic London
6162,IGK
6156,ILIA
6235,INC.redible
6357,iNNBEAUTY PROJECT
6295,innisfree
8008,Isle of Paradise
6175,IT Cosmetics
3297,Jack Black
6035,JIMMY CHOO
6335,JLo Beauty
6202,Jo Malone London
5922,Josie Maran
6254,Jouer Cosmetics
5841,Juicy Couture
7070,Juliette Has a Gun
6469,JVN
6472,K18 Biomimetic Hairscience
6255,Kaja
6499,Kate McLeod
5946,Kate Somerville
6745,KAYALI
6259,Kérastase
6218,Kiehl's Since 1851
6240,KILIAN Paris
6029,Koh Gen Do
6188,Kopari
6207,KORA Organics
5715,KORRES
6279,Kosas
6481,Kulfi
5905,KVD Beauty
2366,L'Occitane
6201,La Mer
1741,Lancôme
6125,LANEIGE
5809,Laura Mercier
6246,LAWLESS
6216,lilah b.
6273,Lilly Lashes
5936,Living Proof
6345,LYS Beauty
6753,MACRENE actives
6250,Maison Louis Marie
7038,Maison Margiela
4028,MAKE UP FOR EVER
6332,MAKEUP BY MARIO
6749,MARA
3680,Marc Jacobs Fragrances
8017,Mario Badescu
6744,maude
6376,Melanin Haircare
6287,Melt Cosmetics
6338,MERIT
6134,MILK MAKEUP
6315,Mizani
5606,Montblanc
6226,Moon Juice
6182,Moroccanoil
6256,Mount Lai
3729,Mugler
4164,Murad
6026,NAILS INC.
5805,Narciso Rodriguez
3976,NARS
6184,Natasha Denona
8012,Naturally Serious
6323,Nécessaire
7025,NEST New York
7055,NUDESTIX
6001,NuFACE
6757,Nutrafol
6204,Olaplex
5674,OLEHENRIKSEN
6326,ONE/SIZE by Patrick Starrr
6346,Oribe
3733,Origins
6340,OTHERLAND
6144,OUAI
1071,Paco Rabanne
6160,PAT McGRATH LABS
6286,PATRICK TA
6366,PATTERN by Tracee Ellis Ross
6341,Paula's Choice
6209,Peace Out
3728,Peter Thomas Roth
3866,philosophy
6252,PHLUR
5764,Prada
6310,Prima
6330,Pureology
6155,Rahua
1164,Ralph Lauren
6475,RANAVAT
6317,Rare Beauty by Selena Gomez
6363,REFY
5857,REN Clean Skincare
7102,RIES
6166,rms beauty
6367,ROSE INC
7100,ROSE Ingleton MD
5671,Rosebud Perfume Co.
6159,Rossano Ferretti Parma
6337,Saie
6294,Saint Jane Beauty
3902,SEPHORA COLLECTION
5823,Sephora Favorites
6314,Shani Darden Skin Care
5337,Shiseido
5338,shu uemura
6748,SIMIHAZE BEAUTY
6084,SK-II
6187,Skin Laundry
6289,Skinfix
6288,SKYLAR
6130,Slip
3990,Smashbox
6303,SOBEL SKIN Rx
6145,Sol de Janeiro
6750,Soleil Toujours
5626,St. Tropez
3865,stila
6358,StriVectin
6307,Sulwhasoo
6247,Summer Fridays
8020,SUNDAY II SUNDAY
6073,Sunday Riley
5987,Supergoop!
6360,Susteau
6225,TAN-LUXE
5648,tarte
7020,Tata Harper
6041,Tatcha
6238,The 7 Virtues
6285,The INKEY List
6380,The Maker
6375,The Nue Co.
6234,The Ordinary
8000,The Original MakeUp Eraser
6488,The Outset
6343,The Phluid Project
1722,TOCCA
5869,TOM FORD
4225,Too Faced
6355,Topicals
6477,Touchland
2000,Tower 28 Beauty
6373,TULA Skincare
3806,Urban Decay
1169,Valentino
6365,Vegamour
7064,Velour Lashes
6112,Verb
2084,Versace
5979,Viktor&Rolf
6232,Violet Voss
6501,Viori
6304,Virtue
