author_id,skin_tone,eye_color,skin_type,hair_color
1741593524,,brown,dry,black
31423088263,,,,
5061282401,light,brown,dry,blonde
6083038851,,brown,combination,black
47056667835,light,hazel,combination,
42802569154,lightMedium,brown,normal,brown
6941883808,light,blue,combination,brown
27926227988,fairLight,brown,combination,brown
7656791726,light,blue,normal,blonde
38727834382,light,brown,normal,brown
45409499927,,brown,dry,black
37554855017,fair,green,dry,brown
21858073785,light,blue,combination,blonde
22249699172,,brown,dry,
1216391002,fair,blue,combination,blonde
45004161653,lightMedium,hazel,normal,blonde
33602438124,lightMedium,brown,combination,brown
33049388574,lightMedium,hazel,dry,brown
43349462775,light,brown,dry,black
23003625295,fair,blue,combination,brown
22076782315,light,blue,combination,
46007186639,fair,blue,normal,blonde
47136208213,lightMedium,brown,combination,brown
27004084356,light,brown,oily,brunette
5392684203,medium,brown,combination,black
47411662117,fair,brown,combination,blonde
35214181931,notSureST,green,normal,brown
45410685663,fair,brown,normal,black
26425842093,lightMedium,hazel,combination,brown
1238130325,fairLight,brown,dry,gray
23439053368,fair,brown,normal,brown
1526593631,light,brown,combination,
10543454053,fair,brown,oily,
6348297675,fair,green,combination,blonde
22084747922,fair,green,oily,
2329411573,light,brown,combination,black
43975065514,fair,brown,dry,brown
21522162621,fair,brown,dry,auburn
34519902636,fairLight,blue,dry,brown
39024516455,mediumTan,hazel,combination,brown
10664920572,,brown,dry,
11620295138,medium,brown,dry,black
6835882311,tan,brown,oily,brunette
2795584162,,brown,normal,brunette
42025113851,medium,brown,oily,brunette
27991208736,,,,
36666693723,,,,
43769690249,fair,hazel,combination,black
2626890840,rich,brown,oily,black
6152272933,fair,brown,oily,black
32089916031,lightMedium,brown,combination,black
10378079599,tan,brown,combination,black
11313472633,fair,brown,combination,
8154006915,light,hazel,combination,blonde
21405828774,light,gray,dry,black
46853998374,light,brown,dry,
9467587295,light,brown,normal,auburn
12922019886,fair,blue,combination,blonde
6893083,medium,brown,dry,black
38614132714,light,brown,normal,brown
35529082344,medium,brown,dry,black
42505817819,lightMedium,brown,combination,black
6073241212,,,,
28272910803,lightMedium,brown,dry,brown
37193218245,light,brown,combination,brown
1801166612,fair,brown,combination,red
5232713920,lightMedium,brown,combination,blonde
21503020814,medium,brown,normal,black
33692099507,lightMedium,hazel,normal,brown
12367701277,fairLight,blue,normal,brown
1660910909,mediumTan,brown,normal,brown
45863208698,olive,brown,dry,brunette
7814119743,,blue,combination,blonde
45743074519,notSureST,hazel,combination,brown
11942802792,,,,
1510283582,,brown,dry,black
34103241713,light,hazel,combination,blonde
46711680047,fair,gray,combination,brown
46115455920,tan,brown,combination,brunette
45895782167,fair,blue,normal,blonde
42514557008,light,blue,dry,blonde
33161024868,mediumTan,brown,oily,black
25514526813,mediumTan,,combination,brown
43510795494,fairLight,gray,combination,brown
23521975413,fair,brown,oily,blonde
10586066947,,blue,combination,blonde
7202652091,lightMedium,brown,combination,black
25204747984,light,brown,dry,
30691181880,lightMedium,brown,oily,brown
39295256784,medium,brown,combination,brown
6642769747,,green,combination,blonde
7554442535,light,blue,normal,blonde
24050060957,light,green,combination,blonde
46974309809,mediumTan,brown,normal,brown
41088271705,fair,blue,normal,
44472131871,fairLight,gray,combination,brown
6036085339,fairLight,blue,dry,red
12119150865,lightMedium,brown,normal,auburn
43606919347,light,blue,oily,brown
24181841840,lightMedium,brown,dry,black
2369032365,light,green,normal,brown
34583621787,,hazel,combination,brown
34674456077,lightMedium,brown,combination,blonde
26212301682,fairLight,green,dry,auburn
2506029715,mediumTan,brown,dry,brown
30719529484,fairLight,brown,combination,blonde
43055853656,light,brown,combination,brown
32394665163,tan,brown,dry,black
1344603522,mediumTan,green,combination,black
986576103,light,green,combination,brown
8003438297,fairLight,brown,dry,brown
6159754296,fair,brown,combination,blonde
11902217610,,,,
1998200924,fair,brown,combination,
24484436707,light,blue,combination,blonde
43851162127,medium,brown,combination,black
8441605705,light,blue,normal,blonde
22383250669,medium,brown,oily,black
32573844155,light,brown,dry,black
37013902423,medium,brown,normal,black
44174980261,light,brown,normal,brown
2802333062,fair,brown,dry,
7860727440,fair,hazel,normal,
45412564681,light,brown,combination,brown
45095782616,lightMedium,hazel,combination,brown
5353168486,deep,brown,combination,black
22765613829,,blue,dry,blonde
7770185909,fair,brown,oily,brown
2650440841,,,combination,
28264997345,,blue,combination,blonde
37463371315,light,brown,combination,brown
5165918435,light,blue,combination,
46387082288,,brown,normal,
45595459670,light,hazel,combination,brown
42326036996,porcelain,green,combination,brunette
1918682629,light,brown,oily,auburn
2185603984,light,brown,combination,
33060342567,light,blue,dry,brown
44398961569,fairLight,brown,dry,red
2299042933,mediumTan,brown,oily,black
6196629408,lightMedium,brown,dry,brown
7068114504,fair,hazel,dry,brown
24045687545,fairLight,blue,combination,blonde
41782136944,,brown,combination,
11225167277,fair,brown,dry,black
33142289822,porcelain,brown,combination,brunette
8608512711,,brown,combination,
1640301022,,brown,combination,black
40663670414,mediumTan,brown,normal,brown
46247516739,,blue,oily,red
29869379142,light,brown,combination,brown
34141362141,fair,hazel,combination,
46553602536,fair,brown,normal,brown
43979845760,light,brown,combination,brown
46987660745,mediumTan,blue,normal,brown
7718198285,mediumTan,brown,combination,brown
6343578907,fair,hazel,normal,brown
5940970133,,hazel,normal,
11331746156,fairLight,blue,combination,red
23366273597,,,,
7541496140,tan,brown,oily,black
973100838,light,brown,dry,gray
42238382791,light,blue,normal,brown
6621643284,lightMedium,hazel,combination,brown
36019895677,fairLight,gray,combination,blonde
23504565446,light,green,combination,brown
46057090436,light,green,dry,
27229617916,fair,brown,oily,brown
1274786131,light,hazel,oily,blonde
1842082406,,,,
41751617802,,green,dry,blonde
1469089791,fairLight,green,normal,brown
37064976466,light,brown,oily,black
21714715462,tan,brown,normal,brown
46178079891,fairLight,hazel,combination,brown
11888926808,,brown,combination,
6275957289,fair,brown,combination,blonde
7788080651,fair,brown,dry,
42431201282,,,,
10183466392,fair,blue,combination,blonde
30405979208,,,,
43157496133,,green,combination,
43346007577,light,hazel,combination,
12801710025,fair,brown,combination,brown
24077607709,rich,brown,normal,black
13033520935,deep,brown,normal,black
34442684695,fair,brown,dry,brown
40745377921,medium,brown,combination,black
37529204276,fair,blue,combination,
27747586074,mediumTan,brown,normal,brown
46387080651,fairLight,brown,oily,red
39670521167,fairLight,,combination,
5813211406,fair,green,oily,
7440333536,mediumTan,brown,combination,brown
35439265952,medium,brown,combination,black
