time_sk,submission_date,year,month,quarter,season,is_cold_month
0,2008-08-28,2008,8,3,Warm,0
1,2008-08-29,2008,8,3,Warm,0
2,2008-08-30,2008,8,3,Warm,0
3,2008-08-31,2008,8,3,Warm,0
4,2008-09-01,2008,9,3,Warm,0
5,2008-09-02,2008,9,3,Warm,0
6,2008-09-03,2008,9,3,Warm,0
7,2008-09-04,2008,9,3,Warm,0
8,2008-09-05,2008,9,3,Warm,0
9,2008-09-06,2008,9,3,Warm,0
10,2008-09-07,2008,9,3,Warm,0
11,2008-09-08,2008,9,3,Warm,0
12,2008-09-09,2008,9,3,Warm,0
13,2008-09-10,2008,9,3,Warm,0
14,2008-09-11,2008,9,3,Warm,0
15,2008-09-12,2008,9,3,Warm,0
16,2008-09-13,2008,9,3,Warm,0
17,2008-09-14,2008,9,3,Warm,0
18,2008-09-15,2008,9,3,Warm,0
19,2008-09-16,2008,9,3,Warm,0
20,2008-09-17,2008,9,3,Warm,0
21,2008-09-18,2008,9,3,Warm,0
22,2008-09-19,2008,9,3,Warm,0
23,2008-09-20,2008,9,3,Warm,0
24,2008-09-21,2008,9,3,Warm,0
25,2008-09-22,2008,9,3,Warm,0
26,2008-09-23,2008,9,3,Warm,0
27,2008-09-24,2008,9,3,Warm,0
28,2008-09-25,2008,9,3,Warm,0
29,2008-09-26,2008,9,3,Warm,0
30,2008-09-27,2008,9,3,Warm,0
31,2008-09-28,2008,9,3,Warm,0
32,2008-09-29,2008,9,3,Warm,0
33,2008-09-30,2008,9,3,Warm,0
34,2008-10-01,2008,10,4,Warm,0
35,2008-10-02,2008,10,4,Warm,0
36,2008-10-03,2008,10,4,Warm,0
37,2008-10-04,2008,10,4,Warm,0
38,2008-10-05,2008,10,4,Warm,0
39,2008-10-06,2008,10,4,Warm,0
40,2008-10-07,2008,10,4,Warm,0
41,2008-10-08,2008,10,4,Warm,0
42,2008-10-09,2008,10,4,Warm,0
43,2008-10-10,2008,10,4,Warm,0
44,2008-10-11,2008,10,4,Warm,0
45,2008-10-12,2008,10,4,Warm,0
46,2008-10-13,2008,10,4,Warm,0
47,2008-10-14,2008,10,4,Warm,0
48,2008-10-15,2008,10,4,Warm,0
49,2008-10-16,2008,10,4,Warm,0
50,2008-10-17,2008,10,4,Warm,0
51,2008-10-18,2008,10,4,Warm,0
52,2008-10-19,2008,10,4,Warm,0
53,2008-10-20,2008,10,4,Warm,0
54,2008-10-21,2008,10,4,Warm,0
55,2008-10-22,2008,10,4,Warm,0
56,2008-10-23,2008,10,4,Warm,0
57,2008-10-24,2008,10,4,Warm,0
58,2008-10-25,2008,10,4,Warm,0
59,2008-10-26,2008,10,4,Warm,0
60,2008-10-27,2008,10,4,Warm,0
61,2008-10-28,2008,10,4,Warm,0
62,2008-10-29,2008,10,4,Warm,0
63,2008-10-30,2008,10,4,Warm,0
64,2008-10-31,2008,10,4,Warm,0
65,2008-11-01,2008,11,4,Warm,0
66,2008-11-02,2008,11,4,Warm,0
67,2008-11-03,2008,11,4,Warm,0
68,2008-11-04,2008,11,4,Warm,0
69,2008-11-05,2008,11,4,Warm,0
70,2008-11-06,2008,11,4,Warm,0
71,2008-11-07,2008,11,4,Warm,0
72,2008-11-08,2008,11,4,Warm,0
73,2008-11-09,2008,11,4,Warm,0
74,2008-11-10,2008,11,4,Warm,0
75,2008-11-11,2008,11,4,Warm,0
76,2008-11-12,2008,11,4,Warm,0
77,2008-11-13,2008,11,4,Warm,0
78,2008-11-14,2008,11,4,Warm,0
79,2008-11-15,2008,11,4,Warm,0
80,2008-11-16,2008,11,4,Warm,0
81,2008-11-17,2008,11,4,Warm,0
82,2008-11-18,2008,11,4,Warm,0
83,2008-11-19,2008,11,4,Warm,0
84,2008-11-20,2008,11,4,Warm,0
85,2008-11-21,2008,11,4,Warm,0
86,2008-11-22,2008,11,4,Warm,0
87,2008-11-23,2008,11,4,Warm,0
88,2008-11-24,2008,11,4,Warm,0
89,2008-11-25,2008,11,4,Warm,0
90,2008-11-26,2008,11,4,Warm,0
91,2008-11-27,2008,11,4,Warm,0
92,2008-11-28,2008,11,4,Warm,0
93,2008-11-29,2008,11,4,Warm,0
94,2008-11-30,2008,11,4,Warm,0
