user_id,age,price,quantity,rating,transaction_id,transaction_date,product_code,category_id,category_name,temperature,humidity,wind_speed,weather_list,realfeel_list
4642,18,43.87,3,2.6,326687,2023-07-25,SK8037,5,SERUMS,37.2,31.8,9.9,Mostly sunny,36.7
1990,65,98.82,3,4.9,305492,2023-03-18,SK9657,7,MASKS,8.5,52.3,22.9,Partly sunny,7.9
4127,34,125.76,2,4.6,274033,2023-01-11,SK5262,3,EXFOLIANTS,24.7,14.9,25.2,Intermittent clouds,21.7
4904,29,159.84,3,2.1,198797,2023-09-18,SK6104,8,SUNSCREENS,1.0,62.7,0.2,Showers,3.5
4787,18,164.17,3,1.7,944257,2023-09-17,SK3522,3,EXFOLIANTS,6.3,62.2,2.8,Intermittent clouds,7.7
2312,30,29.97,4,3.8,643331,2023-01-07,SK6185,4,MOISTURIZERS,12.4,70.6,4.3,Showers,14.7
1580,23,165.08,1,3.6,548095,2023-01-06,SK4393,7,MASKS,1.0,75.7,7.5,Rain,1.1
1718,19,9.07,5,1.2,125432,2023-12-17,SK2401,7,MASKS,2.8,49.3,24.1,Rain,5.0
3571,63,98.5,1,3.8,484113,2023-07-18,SK6024,6,EYECARE,24.6,29.2,0.1,Thunderstorms,22.8
4062,48,188.54,2,3.7,511860,2023-03-22,SK7185,9,ANTIAGING,11.4,70.5,9.6,Mostly sunny,12.4
1926,39,144.57,5,1.8,821893,2023-08-15,SK1956,5,SERUMS,12.1,11.2,3.6,Partly sunny with showers,12.0
1886,55,195.23,1,3.9,574339,2023-08-03,SK8174,5,SERUMS,32.0,37.1,27.1,Mostly sunny,30.4
1891,58,93.6,3,3.7,335325,2023-12-23,SK4431,4,MOISTURIZERS,18.7,44.4,8.6,Mostly cloudy with storms,19.9
2770,54,165.95,3,2.8,655445,2023-02-18,SK5342,1,CLEANSERS,13.8,74.0,12.6,Thunderstorms,13.5
4218,23,102.14,1,4.0,199524,2023-04-17,SK2914,2,TONERS,25.7,10.7,6.1,Partly cloudy,27.1
2115,35,124.26,4,4.3,197532,2023-07-13,SK6927,6,EYECARE,35.0,62.7,29.0,Mostly cloudy with storms,32.9
2155,52,83.34,5,2.4,408641,2023-03-18,SK7674,7,MASKS,2.9,45.6,6.9,Sunny,3.3
2077,28,118.43,2,1.4,223789,2023-08-27,SK7440,6,EYECARE,15.1,36.5,4.3,Rain,14.6
4061,49,117.61,4,2.3,113252,2023-11-14,SK3438,5,SERUMS,2.0,75.5,28.7,Mostly sunny,-0.3
3987,33,56.54,3,4.5,362845,2023-11-14,SK9439,3,EXFOLIANTS,22.2,36.7,15.2,Sunny,20.5
3723,61,195.43,2,4.9,544188,2023-09-22,SK4237,5,SERUMS,30.4,50.9,24.2,Intermittent clouds,30.4
2121,37,181.07,1,2.1,704861,2023-03-20,SK7835,2,TONERS,10.3,71.9,10.3,Cloudy,11.3
3568,44,47.45,1,3.8,828530,2023-10-05,SK2046,8,SUNSCREENS,-3.0,44.1,11.6,Intermittent clouds,-2.0
1297,21,124.87,1,3.6,202086,2023-11-15,SK2585,1,CLEANSERS,14.3,22.0,9.1,Sunny,14.2
1889,53,137.93,4,2.6,377829,2023-03-07,SK9386,6,EYECARE,39.2,20.3,14.4,Mostly cloudy with storms,41.4
3782,58,75.29,1,2.9,577906,2023-12-03,SK7483,5,SERUMS,39.4,49.7,21.4,Mostly sunny,38.2
4060,47,174.75,1,2.4,857944,2023-10-27,SK3127,2,TONERS,-0.5,54.5,7.1,Mostly cloudy with storms,2.4
2553,63,167.22,1,2.1,658837,2023-02-10,SK7150,5,SERUMS,35.4,56.1,12.7,Clear,34.4
4877,34,69.29,3,4.0,615218,2023-08-20,SK6152,3,EXFOLIANTS,12.3,31.7,15.1,Clear,9.8
1052,35,51.7,5,3.3,500897,2023-07-18,SK6574,3,EXFOLIANTS,28.0,49.7,7.8,Partly cloudy,26.1
1637,25,148.27,1,4.1,741326,2023-04-24,SK2506,6,EYECARE,-9.0,22.3,27.2,Mostly cloudy with storms,-11.3
4064,27,45.42,1,5.0,304258,2023-09-26,SK6691,7,MASKS,2.4,65.0,14.2,Showers,1.8
1727,31,174.67,1,3.1,381909,2023-09-18,SK6898,5,SERUMS,-5.9,42.9,21.9,Clear,-3.8
1622,43,37.66,3,4.3,581676,2023-02-01,SK3909,6,EYECARE,32.1,45.3,22.2,Clear,34.7
4888,23,194.15,4,1.0,134431,2023-11-18,SK8086,1,CLEANSERS,2.1,11.3,15.8,Mostly clear,4.5
2320,47,113.77,4,3.3,284375,2023-03-31,SK7949,9,ANTIAGING,4.3,31.1,23.7,Mostly clear,6.1
2224,22,30.48,5,1.7,741493,2023-02-20,SK1134,7,MASKS,36.9,29.0,18.1,Thunderstorms,37.7
2001,52,188.96,2,3.2,121850,2023-10-06,SK2069,1,CLEANSERS,-8.3,84.5,1.4,Partly sunny,-5.3
1327,59,91.09,2,4.8,612996,2023-10-10,SK5511,3,EXFOLIANTS,25.4,76.3,17.8,Partly sunny with showers,23.6
4235,19,141.8,5,1.1,603164,2023-12-18,SK9978,1,CLEANSERS,22.6,25.4,2.6,Partly cloudy,21.8
4759,40,199.64,3,3.9,149727,2023-09-11,SK8819,4,MOISTURIZERS,11.9,23.2,19.5,Mostly clear,13.7
3620,27,60.52,4,4.9,171659,2023-05-06,SK4076,1,CLEANSERS,2.0,17.2,4.8,Mostly cloudy w showers,3.4
3028,59,53.88,2,2.6,577956,2023-08-25,SK6853,1,CLEANSERS,-0.4,37.6,23.5,Rain,0.7
2334,32,70.38,5,2.3,669931,2023-12-26,SK4462,3,EXFOLIANTS,27.3,55.9,3.1,Intermittent clouds,27.5
1800,60,107.99,5,4.0,975997,2023-03-15,SK8571,4,MOISTURIZERS,4.5,74.2,26.0,Rain,5.9
2150,29,191.12,2,3.3,338048,2023-09-05,SK9784,1,CLEANSERS,10.6,15.5,19.2,Cloudy,10.0
2784,22,65.89,2,3.1,953067,2023-10-13,SK4786,3,EXFOLIANTS,1.9,67.6,0.9,Mostly sunny,4.8
2624,19,92.67,5,1.0,211369,2023-11-13,SK3405,7,MASKS,28.7,73.6,29.1,Partly sunny with showers,30.5
3863,42,150.59,2,2.2,861622,2023-05-19,SK9922,5,SERUMS,-2.1,13.9,29.1,Partly cloudy,-4.2
4598,27,64.91,2,1.8,548867,2023-09-01,SK4707,5,SERUMS,-6.8,46.0,2.3,Clear,-4.8
1395,60,46.45,3,3.1,803399,2023-12-03,SK1213,6,EYECARE,25.2,82.2,5.1,Sunny,27.2
4314,30,93.98,1,3.1,548845,2023-08-07,SK5484,3,EXFOLIANTS,36.3,16.8,25.6,Clear,36.6
4241,22,47.22,4,2.6,340286,2023-07-26,SK3220,3,EXFOLIANTS,32.2,45.4,28.7,Partly sunny with showers,31.0
