iter	Passed	Remaining
0	221	110693
1	424	105645
2	550	91257
3	686	85168
4	784	77629
5	876	72139
6	998	70294
7	1096	67459
8	1190	64951
9	1364	66880
10	1519	67544
11	1606	65337
12	1744	65333
13	1876	65140
14	1992	64439
15	2194	66391
16	2327	66141
17	2470	66165
18	2617	66254
19	2775	66609
20	2903	66233
21	3055	66378
22	3188	66122
23	3289	65250
24	3369	64016
25	3430	62547
26	3492	61189
27	3599	60683
28	3698	60074
29	3855	60404
30	3955	59848
31	4075	59598
32	4214	59635
33	4379	60025
34	4481	59537
35	4607	59382
36	4731	59203
37	4768	57975
38	4850	57333
39	4978	57253
40	5087	56950
41	5216	56884
42	5379	57170
43	5483	56832
44	5656	57191
45	5764	56896
46	5889	56762
47	6007	56568
48	6070	55874
49	6120	55085
50	6268	55189
51	6366	54852
52	6424	54187
53	6553	54124
54	6726	54425
55	6866	54444
56	6994	54359
57	7108	54171
58	7229	54035
59	7355	53942
60	7433	53496
61	7580	53554
62	7708	53468
63	7792	53084
64	7946	53181
65	8027	52784
66	8149	52665
67	8266	52517
68	8411	52540
69	8475	52063
70	8592	51916
71	8766	52110
72	8918	52168
73	9073	52235
74	9241	52369
75	9395	52419
76	9558	52508
77	9656	52243
78	9792	52187
79	9949	52234
80	10073	52108
81	10225	52125
82	10296	51729
83	10436	51687
84	10595	51732
85	10741	51707
86	10889	51694
87	10988	51446
88	11117	51338
89	11219	51112
90	11365	51080
91	11502	51009
92	11646	50967
93	11821	51059
94	11986	51098
95	12086	50866
96	12222	50779
97	12312	50505
98	12430	50351
99	12516	50066
100	12629	49891
101	12744	49727
102	12839	49486
103	12912	49168
104	13025	48999
105	13168	48947
106	13326	48945
107	13482	48935
108	13631	48898
109	13772	48829
110	13837	48494
111	13924	48240
112	13993	47925
113	14086	47696
114	14218	47601
115	14288	47301
116	14415	47188
117	14580	47201
118	14664	46951
119	14751	46712
120	14874	46589
121	14948	46316
122	15051	46133
123	15113	45828
124	15227	45681
125	15286	45374
126	15342	45061
127	15468	44954
128	15533	44674
129	15635	44501
130	15744	44349
131	15912	44362
132	15969	44066
133	16043	43820
134	16119	43583
135	16274	43557
136	16401	43457
137	16554	43425
138	16606	43129
139	16747	43065
140	16905	43043
141	17030	42936
142	17144	42800
143	17294	42756
144	17444	42708
145	17516	42470
146	17603	42271
147	17772	42270
148	17860	42074
149	18003	42007
150	18123	41888
151	18278	41848
152	18340	41595
153	18495	41554
154	18600	41402
155	18658	41145
156	18803	41080
157	18872	40849
158	18937	40614
159	19002	40381
160	19148	40319
161	19261	40188
162	19429	40170
163	19590	40137
164	19739	40077
165	19865	39970
